"region","year","sex","country","number"
"AT13","2006","FEMALE","BRA",716
"AT13","2006","FEMALE","CHL",376
"AT13","2006","FEMALE","COL",392
"AT13","2006","FEMALE","CRI",29
"AT13","2006","FEMALE","CUB",195
"AT13","2006","FEMALE","DOM",268
"AT13","2006","FEMALE","ECU",148
"AT13","2006","FEMALE","GTM",37
"AT13","2006","FEMALE","HND",10
"AT13","2006","FEMALE","HTI",18
"AT13","2006","FEMALE","MEX",236
"AT13","2006","FEMALE","NIC",36
"AT13","2006","FEMALE","PAN",10
"AT13","2006","FEMALE","PER",422
"AT13","2006","FEMALE","PRY",31
"AT13","2006","FEMALE","SLV",21
"AT13","2006","FEMALE","URY",78
"AT13","2006","FEMALE","VEN",196
"AT13","2007","MALE","ARG",265
"AT13","2007","MALE","BOL",96
"AT13","2007","MALE","BRA",443
"AT13","2007","MALE","CHL",319
"AT13","2007","MALE","COL",308
"AT13","2007","MALE","CRI",23
"AT13","2007","MALE","CUB",103
"AT13","2007","MALE","DOM",123
"AT13","2007","MALE","ECU",111
"AT13","2007","MALE","GTM",60
"AT13","2007","MALE","HND",14
"AT13","2007","MALE","HTI",7
"AT13","2007","MALE","MEX",191
"AT13","2007","MALE","NIC",19
"AT13","2007","MALE","PAN",7
"AT13","2007","MALE","PER",248
"AT13","2007","MALE","PRY",24
"AT13","2007","MALE","SLV",10
"AT13","2007","MALE","URY",51
"AT13","2007","MALE","VEN",119
"AT13","2007","FEMALE","ARG",281
"AT13","2007","FEMALE","BOL",135
"AT13","2007","FEMALE","BRA",738
"AT13","2007","FEMALE","CHL",360
"AT13","2007","FEMALE","COL",399
"AT13","2007","FEMALE","CRI",29
"AT13","2007","FEMALE","CUB",194
"AT13","2007","FEMALE","DOM",278
"AT13","2007","FEMALE","ECU",155
"AT13","2007","FEMALE","GTM",45
"AT13","2007","FEMALE","HND",12
"AT13","2007","FEMALE","HTI",19
"AT13","2007","FEMALE","MEX",244
"AT13","2007","FEMALE","NIC",34
"AT13","2007","FEMALE","PAN",11
"AT13","2007","FEMALE","PER",449
"AT13","2007","FEMALE","PRY",38
"AT13","2007","FEMALE","SLV",20
"AT13","2007","FEMALE","URY",77
"AT13","2007","FEMALE","VEN",202
"AT13","2008","MALE","ARG",280
"AT13","2008","MALE","BOL",99
"AT13","2008","MALE","BRA",445
"AT13","2008","MALE","CHL",326
"AT13","2008","MALE","COL",314
"AT13","2008","MALE","CRI",19
"AT13","2008","MALE","CUB",112
"AT13","2008","MALE","DOM",125
"AT13","2008","MALE","ECU",120
"AT13","2008","MALE","GTM",60
"AT13","2008","MALE","HND",12
"AT13","2008","MALE","HTI",9
"AT13","2008","MALE","MEX",203
"AT13","2008","MALE","NIC",20
"AT13","2008","MALE","PAN",10
"AT13","2008","MALE","PER",251
"AT13","2008","MALE","PRY",30
"AT13","2008","MALE","SLV",11
"AT13","2008","MALE","URY",51
"AT13","2008","MALE","VEN",127
"AT13","2008","FEMALE","ARG",275
"AT13","2008","FEMALE","BOL",134
"AT13","2008","FEMALE","BRA",793
"AT13","2008","FEMALE","CHL",361
"AT13","2008","FEMALE","COL",400
"AT13","2008","FEMALE","CRI",34
"AT13","2008","FEMALE","CUB",202
"AT13","2008","FEMALE","DOM",270
